# Fuente de datos para scripts/create-issues.sh
# Formato: tipo <TAB> id <TAB> rama <TAB> titulo
# tipo: E = epica, H = historia, T = ticket
# El detalle completo de cada item vive en docs/BACKLOG.md
E	0	-	Fundacion, Identidad Inka y Desbloqueo de CI
H	0.1	-	Infraestructura de Gitflow
T	0.1.1	(sin PR)	Alinear credenciales de git y gh
T	0.1.2	(sin PR)	Crear y publicar la rama develop
T	0.1.3	(sin PR)	Configurar branch protection en main y develop
T	0.1.4	develop (directo)	Agregar plantillas de PR e issues y CODEOWNERS
T	0.1.5	develop (directo)	Documentar el gitflow en CONTRIBUTING.md
T	0.1.6	develop (directo)	Publicar docs/BACKLOG.md
T	0.1.7	(sin PR)	Crear los issues del backlog en GitHub
T	0.1.8	PR develop -> main	Bootstrap del gitflow hacia main
H	0.2	-	Desbloquear el gate de coverage
T	0.2.1	ci/INKA-0.2.1-jest-config-fix	Arreglar la configuracion de Jest y las exclusiones de coverage
T	0.2.2	test/INKA-0.2.2-start-page-specs	Escribir los specs de StartPage
T	0.2.3	test/INKA-0.2.3-forgot-password-specs	Escribir los specs de ForgotPasswordPage
T	0.2.4	ci/INKA-0.2.4-harden-ci-gate	Tratar los jobs skipped como fallo en ci-gate
H	0.3	-	Design tokens Inka
T	0.3.1	refactor/INKA-0.3.1-inka-token-rename	Renombrar los tokens --nq-* a --inka-*
T	0.3.2	feat/INKA-0.3.2-inka-color-values	Aplicar los valores de color de Inka
H	0.4	-	Rebrand del proyecto y limpieza de Neque
T	0.4.1	chore/INKA-0.4.1-rename-angular-project	Renombrar el proyecto Angular y la app de Capacitor
T	0.4.2	chore/INKA-0.4.2-remove-trainer-pages	Eliminar las paginas heredadas de Neque
T	0.4.3	docs/INKA-0.4.3-readme	Escribir el README del proyecto
T	0.4.4	(sin PR)	Mantener CLAUDE.md alineado con el rebrand
H	0.5	-	Higiene del sistema de estilos
T	0.5.1	refactor/INKA-0.5.1-split-mixins-from-components	Separar los mixins de las clases globales del theme
T	0.5.2	fix/INKA-0.5.2-dedupe-state-divider-classes	Resolver las clases duplicadas entre components y utilities
T	0.5.3	refactor/INKA-0.5.3-scss-use-migration	Migrar styles.scss de import a use
T	0.5.4	feat/INKA-0.5.4-self-host-inter-font	Cargar la fuente Inter o quitarla del token
E	1	-	Home: Mapa de Descubrimiento
H	1.1	-	Modelo de dominio y datos mock
T	1.1.1	feat/INKA-1.1.1-tattoo-artist-model	Definir el modelo TattooArtist y sus tipos
T	1.1.2	feat/INKA-1.1.2-mock-artists	Crear los 6 tatuadores mock de Santiago
T	1.1.3	feat/INKA-1.1.3-artist-service	Implementar ArtistService sobre el mock
H	1.2	-	Shell de layout y bottom nav
T	1.2.1	feat/INKA-1.2.1-main-layout-shell	Crear MainLayoutPage con el patron de tab activa
T	1.2.2	feat/INKA-1.2.2-bottom-nav-tabs	Agregar los 4 tabs Home Explorar Favoritos Chat
T	1.2.3	feat/INKA-1.2.3-child-routes-placeholders	Definir las rutas hijas con placeholders
T	1.2.4	fix/INKA-1.2.4-ios-safe-area-tabs	Respetar la safe area inferior en iOS
H	1.3	-	Header compacto y chips de estilo
